.20-2 1300  400/700
.20-3 2600  700/1300
.20-4 5200  1300/2600
.25-2 1600  -
.25-3 3200  800/1600
.25-4 6400  1600/3200
.30-1 1000  300/500
.30-2 2000  500/1000
.30-3 3900  1000/2000
.30-4 7700  2000/3900
.40-1 1300  400/700
.40-2 2600  700/1300
.40-3 5200  1300/2600
.40-4 8000  2000/4000
.50-1 1600  400/800
.50-2 3200  800/1600
.50-3 6400  1600/3200
.50-4 8000  2000/4000
&20-2 2000  700
&20-3 3900  1300
&20-4 7700  2600
&25-2 2400  -
&25-3 4800  1600
&25-4 9600  3200
&30-1 1500  500
&30-2 2900  1000
&30-3 5800  2000
&30-4 11600 3900
&40-1 2000  700
&40-2 3900  1300
&40-3 7700  2600
&40-4 12000 4000
&50-1 2400  800
&50-2 4800  1600
&50-3 9600  3200
&50-4 12000 4000
