.20-2 13  4/7
.20-3 26  7/13
.20-4 52  13/26
.25-2 16  -
.25-3 32  8/16
.25-4 64  16/32
.30-1 10  3/5
.30-2 20  5/10
.30-3 39  10/20
.30-4 77  20/39
.40-1 13  4/7
.40-2 26  7/13
.40-3 52  13/26
.40-4 80  20/40
.50-1 16  4/8
.50-2 32  8/16
.50-3 64  16/32
.50-4 80  20/40
&20-2 20  7
&20-3 39  13
&20-4 77  26
&25-2 24  -
&25-3 48  16
&25-4 96  32
&30-1 15  5
&30-2 29  10
&30-3 58  20
&30-4 116 39
&40-1 20  7
&40-2 39  13
&40-3 77  26
&40-4 120 40
&50-1 24  8
&50-2 48  16
&50-3 96  32
&50-4 120 40
