23456JJ    147      11 #7-1_0(piano)
2345678    258      9  #7-2_0
2345567    258      9  #7-3_0
23444JJ    14J      7  #7-4_1
2333456    1247     14 #7-5_1
3334456    2457     13 #7-6_1
3334556    457      9  #7-7_1
3334567    24578    17 #7-8_1
3334568    78       7  #7-9_1
3335567    458      10 #7-10_1
3335678    458      10 #7-11_1
3334455    3456     9  #7-12_1
3344455    345      5  #7-13_1
3334555    23456    13 #7-14_2(sandwich)
3334445    3456     9  #7-15_2(opensand)
3335777    456      11 #7-16_2
3345555    346      9  #7-17_0_1
3344445    2356     13 #7-18_0_1
3444456    2356     13 #7-19_0_1
3344556677 3467     8  #10-1
3334567788 6789     11 #10-2
3334566788 578      8  #10-3
3334555677 567      6  #10-4
3334445577 257      8  #10-5
3344455677 256      9  #10-6
3334455566 4567     9  #10-7
3334567888 23456789 22 #10-8
3334556777 34567    10 #10-9
3334567778 36789    12 #10-10
